鄉鎮市區,交易標的,土地區段位置或建物區門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價每平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號
北屯區,房地(土地+建物)+車位,臺中市北屯區崇德路三段121~150號,37.87,住,,,1030211,土地1建物1車位2,十四層,二十一層,住宅大樓(11層含以上有電梯),見其它登記事項,鋼筋混凝土造,1050427,318.9,4,2,3,有,有,27050000,92130,坡道平面,54.6,2700000,,RPROMLOJQHLFFBB97CA
北屯區,房地(土地+建物)+車位,臺中市北屯區崇德路三段121~150號,30.69,住,,,1040114,土地1建物1車位2,二十一層,二十一層,住宅大樓(11層含以上有電梯),見其它登記事項,鋼筋混凝土造,1050427,253.43,3,2,2,有,有,24500000,112659,坡道平面,54.6,2100000,,RPSOMLOJQHLFFBB08CA
北屯區,房地(土地+建物)+車位,臺中市北屯區崇德路三段121~150號,38.13,住,,,1050420,土地1建物1車位2,十層,二十一層,住宅大樓(11層含以上有電梯),見其它登記事項,鋼筋混凝土造,1050427,320.54999999999995,4,2,3,有,有,32030000,111355,坡道平面,56.26,2600000,,RPTOMLOJQHLFFBB18CA
北屯區,房地(土地+建物)+車位,臺中市北屯區崇德路三段121~150號,31.17,住,,,1030405,土地1建物1車位2,六層,二十一層,住宅大樓(11層含以上有電梯),見其它登記事項,鋼筋混凝土造,1050427,257.93,3,2,2,有,有,19950000,87788,坡道平面,54.6,2100000,,RPUOMLOJQHLFFBB28CA
北區,房地(土地+建物)+車位,臺中市北區東成三街271~300號,19.93,住,,,1050706,土地1建物1車位1,四層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0821123,113.27,3,2,2,有,有,5300000,46791,坡道平面,0.0,0,,RPWRMLOJQHLFFBB78CA
北區,房地(土地+建物)+車位,臺中市北區文心路四段181~210號,8.84,住,,,1050603,土地1建物1車位1,十二層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0951225,100.84,1,1,1,有,有,7710000,76458,坡道平面,30.35,0,,RPTNMLOJQHLFFBB08CA
北區,房地(土地+建物)+車位,臺中市北區文心路四段181~210號,8.51,住,,,1050603,土地1建物1車位1,十二層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0951225,97.59,1,1,1,有,有,7490000,76750,坡道平面,30.35,0,,SPTNMLOJQHLFFBB18CA
北區,房地(土地+建物),臺中市北區德化街91~120號,23.5,住,,,1050701,土地2建物1車位0,五層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0711230,94.41000000000001,3,2,2,有,無,3260000,34530,,0.0,0,含增建或未登記建物。,RPXPMLNJQHLFFBB58CA
北屯區,房地(土地+建物)+車位,臺中市北屯區后庄路31~60號,30.34,住,,,1050630,土地1建物1車位1,十一層,十四層,住宅大樓(11層含以上有電梯),見其它登記事項,鋼筋混凝土造,1050502,165.95999999999998,0,0,0,無,有,13000000,78332,坡道平面,24.85,0,,RPWOMLMJQHLFFBB28CA
北屯區,房地(土地+建物)+車位,臺中市北屯區軍福七路151~180號,20.14,住,,,1050604,土地1建物1車位1,十二層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1031106,178.33999999999997,3,2,2,有,有,10100000,56633,坡道平面,27.53,0,,RPRQMLLJQHLFFBB87CA
北區,土地,文正段1~30地號,68.0,其他,,,1050706,土地3建物0車位0,,,其他,,,,0.0,0,0,0,有,無,2160000,31765,,0.0,0,(包含)公共設施保留地之交易。,RPXPMLLJQHLFFBB38CA
北屯區,房地(土地+建物)+車位,臺中市北屯區松竹路二段346巷1~30號,18.48,住,,,1050607,土地1建物1車位2,三層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1011109,133.25,2,1,1,有,有,8880000,66642,坡道機械,0.0,0,同一家公司上班關係間之交易。,RPSNMLMJQHLFFBB77CA
北屯區,房地(土地+建物)+車位,臺中市北屯區安順北二街1~30號,18.18,住,,,1050630,土地1建物1車位1,四層,八層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0830419,106.3,2,1,1,有,有,3700000,34807,升降機械,0.0,0,,RPRNMLTLPHLFFBB48CA
北區,房地(土地+建物),臺中市北區英士路91~120號,0.29,住,,,1050630,土地1建物1車位0,五層,十一層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0830628,32.94,1,0,1,有,有,1170000,35519,,0.0,0,,RPSQMLTLPHLFFBB88CA
北區,房地(土地+建物)+車位,臺中市北區健行路421~450號,4.68,住,,,1050705,土地1建物2車位1,十一層,十六層,套房(1房1廳1衛),住家用,鋼筋混凝土造,0840526,43.72,1,1,1,有,有,1890000,43230,坡道機械,0.0,0,,RPXNMLTLPHLFFBB09CA
北屯區,房地(土地+建物),臺中市北屯區大連路一段115巷31~60號,61.0,住,,,1050607,土地1建物1車位0,全,二層,透天厝,住家用,鋼筋混凝土加強磚造,0600115,76.26,3,2,2,有,無,6900000,90480,,0.0,0,,RPURMLSLPHLFFBB09CA
北屯區,房地(土地+建物),臺中市北屯區柳陽西街2巷1~30號,86.0,住,,,1050627,土地1建物1車位0,全,二層,透天厝,住家用,加強磚造,0731114,111.06,5,3,3,有,無,13500000,121556,,0.0,0,含增建或未登記建物。,RPORMLSLPHLFFBB48CA
北屯區,房地(土地+建物)+車位,臺中市北屯區和順路631~660號,111.41,住,,,1050630,土地3建物1車位1,全,三層,透天厝,見其它登記事項,鋼筋混凝土造,1040626,298.99,4,3,4,有,有,16800000,56189,坡道平面,0.0,0,含增建或未登記建物。,RPPRMLSLPHLFFBB58CA
北區,房地(土地+建物)+車位,臺中市北區文心路四段181~210號,7.83,其他,,,1050706,土地1建物1車位1,六層,十四層,套房(1房1廳1衛),住家用,鋼筋混凝土造,0951225,86.95,1,1,1,有,有,6060000,69695,坡道機械,21.34,0,,RPQNMLSLPHLFFBB28CA
