鄉鎮市區,交易標的,土地區段位置或建物區門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價每平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號
楠梓區,車位,高雄市楠梓區高楠公路1747巷87弄1~30號,8.67,住,,,1050701,土地0建物0車位2,,,其他,,,,27.06,0,0,0,有,無,600000,,一樓平面,0.0,600000,,RPTNMLPKQHLFFEE98DA
旗山區,土地,旗山段181~210地號,255.0,住,,,1041111,土地3建物0車位0,,,其他,,,,0.0,0,0,0,有,無,6170000,24196,,0.0,0,"另付新台幣100萬給地上物占用人,做為補償折除費用",RPRNMLTKPHLFFHE76DA
仁武區,土地,仁春段1201~1230地號,3.0,住,,,1050705,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,180000,60000,,0.0,0,畸零地或有合併使用之交易。,RPOOMLSLPHLFFIE66DA
美濃區,土地,龍肚段1171~1200地號,272.0,,山坡地保育區,丙種建築用地,1050711,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,272000,1000,,0.0,0,親友、員工或其他特殊關係間之交易。,RPQNMLRLPHLFFKE86DA
鳳山區,土地,埤頂段2131~2160地號,7.0,住,,,1050620,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,300000,42857,,0.0,0,親友、員工或其他特殊關係間之交易。,RPUNMLLKQHLFFGE88DA
旗山區,房地(土地+建物),高雄市旗山區泰山三巷1之3弄1~30號,119.88,,鄉村區,乙種建築用地,1050706,土地4建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,0830628,188.67,4,1,2,有,無,3000000,15901,,0.0,0,,RPRNMLLLPHLFFHE68DA
大樹區,土地,溪埔段751~780地號,1251.0,,一般農業區,農牧用地,1050712,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,5750000,4596,,0.0,0,,RPOOMLTKPHLFFGE09DA
楠梓區,房地(土地+建物)+車位,高雄市楠梓區瑞屏路61~90號,17.21,住,,,1050601,土地1建物1車位1,五層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0931230,135.86,3,2,2,有,有,5000000,36803,坡道平面,0.0,0,,RPVOMLTKPHLFFEE96DA
左營區,土地,左西段271~300地號,51.0,住,,,1050601,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,3570000,70000,,0.0,0,向政府機關承購之案件。,RPPOMLKLPHLFFEE18DA
苓雅區,房地(土地+建物),高雄市苓雅區新光路121~150號,11.47,商,,,1050608,土地1建物1車位0,十層,十二層,住宅大樓(11層含以上有電梯),,鋼筋混凝土造,0691125,80.77000000000001,3,2,2,有,有,2940000,36400,,0.0,0,,RPVOMLTKQHLFFBE76DA
大寮區,土地,內湖段391~420地號,13.58,住,,,1050704,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,128742,9480,,0.0,0,系爭不動產為祖產，共有人眾多，產權複雜,RPSNMLRKQHLFFLE07CA
大寮區,土地,內湖段391~420地號,10.79,住,,,1050704,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,85878,7959,,0.0,0,系爭不動產為祖產，共有人眾多，產權複雜,RPTNMLRKQHLFFLE17CA
大寮區,土地,內湖段361~390地號,2.38,住,,,1050704,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,22539,9470,,0.0,0,系爭不動產為祖產，共有人眾多，產權複雜,RPVNMLRKQHLFFLE37CA
鼓山區,土地,鼓中段一小段841~870地號,22.0,住,,,1050706,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1204500,54750,,0.0,0,向政府機關承購之案件。,RPRNMLMLPHLFFAE08DA
林園區,房地(土地+建物),高雄市林園區頂厝路130巷1~30號,17.53,住,,,1050711,土地1建物2車位0,一層，二層，三層，騎樓,十三層,住宅大樓(11層含以上有電梯),住商用,鋼筋混凝土造,0831128,186.02,3,2,2,有,無,2000000,10752,,0.0,0,,RPRNMLKLPHLFFLE88CA
林園區,房地(土地+建物),高雄市林園區椰樹東巷61~90號,31.05,住,,,1050626,土地1建物1車位0,五層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0811020,110.15,3,2,2,有,無,920000,8352,,0.0,0,,RPTNMLLLPHLFFLE56CA
大寮區,土地,山子頂段4081~4110地號,1450.0,農,,,1050529,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,15600000,10759,,0.0,0,,RPVNMLTKPHLFFLE47CA
大寮區,房地(土地+建物)+車位,高雄市大寮區瑞祥街42巷1~30號,19.97,住,,,1050617,土地2建物1車位1,七層,十層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0830507,119.68,3,2,2,有,有,3650000,30498,坡道平面,0.0,0,"附裝潢,家具",RPUNMLMLPHLFFLE76CA
大寮區,房地(土地+建物),高雄市大寮區江山路39巷1~30號,170.97,農,,,1050618,土地3建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,1050317,159.9,4,1,3,有,無,8600000,53784,,0.0,0,,RPVNMLRLPHLFFLE37CA
大寮區,房地(土地+建物),高雄市大寮區四維路271~300號,14.28,商,,,1050711,土地1建物1車位0,六層,十二層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1041216,89.5,2,2,1,有,有,4050000,45251,,0.0,0,,RPROMLMJQHLFFLE09CA
大寮區,房地(土地+建物)+車位,高雄市大寮區四維路271~300號,16.08,商,,,1050712,土地1建物1車位1,九層,十二層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1041216,101.11,2,2,1,有,有,4670000,46187,坡道機械,0.0,0,,RPSOMLMJQHLFFLE56CA
林園區,房地(土地+建物),高雄市林園區文聖街61~90號,118.0,住,,,1050518,土地1建物1車位0,全,四層,透天厝,見其他登記事項,鋼筋混凝土造,1050406,229.47,5,1,4,有,無,11180000,48721,,0.0,0,,RPQNMLPJQHLFFLE56CA
林園區,房地(土地+建物),高雄市林園區文昌街31~60號,152.0,住,,,1050415,土地1建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,1050407,215.93,5,1,4,有,無,12400000,57426,,0.0,0,,RPRNMLPJQHLFFLE66CA
林園區,房地(土地+建物),高雄市林園區文昌街31~60號,83.0,住,,,1050518,土地1建物1車位0,全,四層,透天厝,見其他登記事項,鋼筋混凝土造,1050406,196.34,5,1,4,有,無,8500000,43292,,0.0,0,,RPSNMLPJQHLFFLE76CA
大寮區,房地(土地+建物)+車位,高雄市大寮區江山路31~60號,19.64,住,,,1050621,土地3建物1車位0,九層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0830205,125.95,3,2,2,有,有,2450000,19452,坡道平面,0.0,0,,RPTNMLPKQHLFFLE96CA
路竹區,房地(土地+建物),高雄市路竹區復興路327巷142弄61~90號,154.0,,一般農業區,甲種建築用地,1050617,土地1建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,1050113,254.84,4,2,5,有,有,15200000,59645,,0.0,0,,RPRNMLLLPHLFFJE78CA
湖內區,房地(土地+建物),高雄市湖內區長壽路65巷5弄1~30號,102.44,住,,,1050701,土地1建物1車位0,全,三層,透天厝,住家用,見其他登記事項,1000426,217.77,5,2,3,有,無,7600000,34899,,0.0,0,,RPSNMLKLPHLFFJE78CA
湖內區,房地(土地+建物),高雄市湖內區民族街91巷1~30號,47.28,住,,,1050616,土地1建物1車位0,全,二層,透天厝,住家用,加強磚造,,83.8,3,2,1,有,無,1700000,20286,,0.0,0,,RPQNMLNLPHLFFJE88CA
