鄉鎮市區,交易標的,土地區段位置或建物區門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價每平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號
萬華區,房地(土地+建物),臺北市萬華區康定路91~120號,3.46,商,,,1050516,土地1建物1車位0,三層,二十六層,套房(1房1廳1衛),住家用,見其他登記事項,1050331,51.23,1,1,1,有,無,11650000,227406,,0,0,,RPUSMLSJQHLFFBA98CA
萬華區,房地(土地+建物)+車位,臺北市萬華區康定路91~120號,3.64,商,,,1050516,土地1建物1車位1,四層,二十六層,套房(1房1廳1衛),住家用,見其他登記事項,1050331,68.08,1,1,1,有,無,10650000,184462,坡道機械,16.85,1200000,,RPVSMLSJQHLFFBA09CA
萬華區,房地(土地+建物),臺北市萬華區康定路91~120號,3.46,商,,,1050516,土地1建物1車位0,六層,二十六層,套房(1房1廳1衛),住家用,見其他登記事項,1050331,51.23,1,1,1,有,無,9570000,186805,,0,0,,RPWSMLSJQHLFFBA56CA
萬華區,房地(土地+建物),臺北市萬華區康定路91~120號,3.46,商,,,1050516,土地1建物1車位0,七層,二十六層,套房(1房1廳1衛),住家用,見其他登記事項,1050331,51.23,1,1,1,有,無,9600000,187390,,0,0,,RPXSMLSJQHLFFBA66CA
萬華區,房地(土地+建物),臺北市萬華區康定路91~120號,3.46,商,,,1050516,土地1建物1車位0,八層,二十六層,套房(1房1廳1衛),住家用,見其他登記事項,1050331,51.23,1,1,1,有,無,9550000,186414,,0,0,,RPOTMLSJQHLFFBA48CA
萬華區,房地(土地+建物),臺北市萬華區康定路91~120號,3.46,商,,,1050516,土地1建物1車位0,十一層,二十六層,套房(1房1廳1衛),住家用,見其他登記事項,1050331,51.23,1,1,1,有,無,9720000,189733,,0,0,,RPPTMLSJQHLFFBA58CA
萬華區,房地(土地+建物),臺北市萬華區康定路91~120號,3.46,商,,,1050516,土地1建物1車位0,十三層,二十六層,套房(1房1廳1衛),住家用,見其他登記事項,1050331,51.23,1,1,1,有,無,9960000,194417,,0,0,,RPQTMLSJQHLFFBA68CA
萬華區,房地(土地+建物),臺北市萬華區康定路91~120號,3.46,商,,,1050516,土地1建物1車位0,十四層,二十六層,套房(1房1廳1衛),住家用,見其他登記事項,1050331,51.23,1,1,1,有,無,11380000,222135,,0,0,,RPRTMLSJQHLFFBA78CA
萬華區,房地(土地+建物),臺北市萬華區康定路91~120號,3.46,商,,,1050516,土地1建物1車位0,十九層,二十六層,套房(1房1廳1衛),住家用,見其他登記事項,1050331,51.23,1,1,1,有,無,11600000,226430,,0,0,,RPTTMLSJQHLFFBA98CA
萬華區,房地(土地+建物),臺北市萬華區康定路91~120號,3.46,商,,,1050516,土地1建物1車位0,二十層,二十六層,套房(1房1廳1衛),住家用,見其他登記事項,1050331,51.23,1,1,1,有,無,10200000,199102,,0,0,,RPUTMLSJQHLFFBA09CA
萬華區,房地(土地+建物),臺北市萬華區康定路91~120號,3.46,商,,,1050516,土地1建物1車位0,二十一層,二十六層,套房(1房1廳1衛),住家用,見其他登記事項,1050331,51.23,1,1,1,有,無,11500000,224478,,0,0,,RPVTMLSJQHLFFBA56CA
萬華區,房地(土地+建物),臺北市萬華區康定路91~120號,3.46,商,,,1050516,土地1建物1車位0,二十三層,二十六層,套房(1房1廳1衛),住家用,見其他登記事項,1050331,51.23,1,1,1,有,無,9900000,193246,,0,0,,RPWTMLSJQHLFFBA66CA
萬華區,房地(土地+建物),臺北市萬華區康定路91~120號,4.46,商,,,1050516,土地1建物1車位0,四層,二十六層,套房(1房1廳1衛),住家用,見其他登記事項,1050331,66.12,1,1,1,有,無,13450000,203418,,0,0,,RPXTMLSJQHLFFBA76CA
萬華區,房地(土地+建物),臺北市萬華區康定路91~120號,4.46,商,,,1050516,土地1建物1車位0,五層,二十六層,套房(1房1廳1衛),住家用,見其他登記事項,1050331,66.12,1,1,1,有,無,13350000,201906,,0,0,,RPOUMLSJQHLFFBA58CA
萬華區,房地(土地+建物)+車位,臺北市萬華區康定路91~120號,4.83,商,,,1050516,土地1建物1車位1,六層,二十六層,套房(1房1廳1衛),住家用,見其他登記事項,1050331,99.81,1,1,1,有,無,14520000,195402,坡道平面,33.7,1600000,,RPPUMLSJQHLFFBA68CA
萬華區,房地(土地+建物),臺北市萬華區康定路91~120號,4.46,商,,,1050516,土地1建物1車位0,八層,二十六層,套房(1房1廳1衛),住家用,見其他登記事項,1050331,66.12,1,1,1,有,無,13100000,198125,,0,0,,RPQUMLSJQHLFFBA78CA
萬華區,房地(土地+建物),臺北市萬華區康定路91~120號,4.46,商,,,1050516,土地1建物1車位0,九層,二十六層,套房(1房1廳1衛),住家用,見其他登記事項,1050331,66.12,1,1,1,有,無,13310000,201301,,0,0,,RPRUMLSJQHLFFBA88CA
萬華區,房地(土地+建物)+車位,臺北市萬華區康定路91~120號,4.65,商,,,1050516,土地1建物1車位1,十層,二十六層,套房(1房1廳1衛),住家用,見其他登記事項,1050331,82.97,1,1,1,有,無,14450000,201906,坡道機械,16.85,1100000,,RPSUMLSJQHLFFBA98CA
萬華區,房地(土地+建物)+車位,臺北市萬華區康定路91~120號,4.83,商,,,1050516,土地1建物1車位1,十三層,二十六層,套房(1房1廳1衛),住家用,見其他登記事項,1050331,99.81,1,1,1,有,無,15600000,205687,坡道平面,33.7,2000000,,RPTUMLSJQHLFFBA09CA
萬華區,房地(土地+建物),臺北市萬華區康定路91~120號,4.46,商,,,1050516,土地1建物1車位0,十七層,二十六層,套房(1房1廳1衛),住家用,見其他登記事項,1050331,66.12,1,1,1,有,無,13510000,204325,,0,0,,RPUUMLSJQHLFFBA56CA
萬華區,房地(土地+建物),臺北市萬華區康定路91~120號,4.46,商,,,1050516,土地1建物1車位0,十九層,二十六層,套房(1房1廳1衛),住家用,見其他登記事項,1050331,66.12,1,1,1,有,無,13500000,204174,,0,0,,RPVUMLSJQHLFFBA66CA
萬華區,房地(土地+建物),臺北市萬華區康定路91~120號,4.46,商,,,1050516,土地1建物1車位0,二十一層,二十六層,套房(1房1廳1衛),住家用,見其他登記事項,1050331,66.12,1,1,1,有,無,13520000,204477,,0,0,,RPXUMLSJQHLFFBA86CA
萬華區,房地(土地+建物),臺北市萬華區康定路91~120號,4.46,商,,,1050516,土地1建物1車位0,二十五層,二十六層,套房(1房1廳1衛),住家用,見其他登記事項,1050331,66.12,1,1,1,有,無,14000000,211736,,0,0,,RPPVMLSJQHLFFBA78CA
萬華區,房地(土地+建物),臺北市萬華區康定路91~120號,3.94,商,,,1050516,土地1建物1車位0,四層,二十六層,套房(1房1廳1衛),住家用,見其他登記事項,1050331,58.31,1,1,1,有,無,12160000,208541,,0,0,,RPQSNLSJQHLFFBA68CA
萬華區,房地(土地+建物),臺北市萬華區康定路91~120號,3.94,商,,,1050516,土地1建物1車位0,五層,二十六層,套房(1房1廳1衛),住家用,見其他登記事項,1050331,58.31,1,1,1,有,無,12750000,218659,,0,0,,RPRSNLSJQHLFFBA78CA
萬華區,房地(土地+建物)+車位,臺北市萬華區康定路91~120號,4.13,商,,,1050516,土地1建物1車位1,六層,二十六層,套房(1房1廳1衛),住家用,見其他登記事項,1050331,75.16,1,1,1,有,無,14380000,219173,坡道機械,16.85,1600000,,RPSSNLSJQHLFFBA88CA
萬華區,房地(土地+建物)+車位,臺北市萬華區康定路91~120號,4.13,商,,,1050516,土地1建物1車位1,八層,二十六層,套房(1房1廳1衛),住家用,見其他登記事項,1050331,75.16,1,1,1,有,無,14690000,231350,坡道機械,16.85,1200000,,RPTSNLSJQHLFFBA98CA
萬華區,房地(土地+建物)+車位,臺北市萬華區康定路91~120號,4.13,商,,,1050516,土地1建物1車位1,十二層,二十六層,套房(1房1廳1衛),住家用,見其他登記事項,1050331,75.16,1,1,1,有,無,14480000,221746,坡道機械,16.85,1550000,,RPUSNLSJQHLFFBA09CA
萬華區,房地(土地+建物)+車位,臺北市萬華區康定路91~120號,4.31,商,,,1050516,土地1建物1車位1,十四層,二十六層,套房(1房1廳1衛),住家用,見其他登記事項,1050331,92.01,1,1,1,有,無,14200000,214371,坡道平面,33.7,1700000,,RPVSNLSJQHLFFBA56CA
萬華區,房地(土地+建物),臺北市萬華區康定路91~120號,3.94,商,,,1050516,土地1建物1車位0,十五層,二十六層,套房(1房1廳1衛),住家用,見其他登記事項,1050331,58.31,1,1,1,有,無,11910000,204253,,0,0,,RPWSNLSJQHLFFBA66CA
萬華區,房地(土地+建物)+車位,臺北市萬華區康定路91~120號,4.13,商,,,1050516,土地1建物1車位1,二十層,二十六層,套房(1房1廳1衛),住家用,見其他登記事項,1050331,75.16,1,1,1,有,無,14310000,221403,坡道機械,16.85,1400000,,RPXSNLSJQHLFFBA76CA
萬華區,房地(土地+建物),臺北市萬華區康定路91~120號,3.94,商,,,1050516,土地1建物1車位0,二十一層,二十六層,套房(1房1廳1衛),住家用,見其他登記事項,1050331,58.31,1,1,1,有,無,12330000,211456,,0,0,,RPOTNLSJQHLFFBA58CA
萬華區,房地(土地+建物),臺北市萬華區康定路91~120號,3.61,商,,,1050516,土地1建物1車位0,三層,二十六層,套房(1房1廳1衛),住家用,見其他登記事項,1050331,53.67,1,1,1,有,無,11310000,210693,,0,0,,RPPTNLSJQHLFFBA68CA
萬華區,房地(土地+建物)+車位,臺北市萬華區康定路91~120號,3.98,商,,,1050516,土地1建物1車位1,四層,二十六層,套房(1房1廳1衛),住家用,見其他登記事項,1050331,87.37,1,1,1,有,無,13600000,206819,坡道平面,33.7,2500000,,RPQTNLSJQHLFFBA78CA
萬華區,房地(土地+建物)+車位,臺北市萬華區康定路91~120號,3.79,商,,,1050516,土地1建物1車位1,五層,二十六層,套房(1房1廳1衛),住家用,見其他登記事項,1050331,70.52,1,1,1,有,無,12390000,208458,坡道機械,16.85,1200000,,RPRTNLSJQHLFFBA88CA
萬華區,房地(土地+建物),臺北市萬華區康定路91~120號,3.61,商,,,1050516,土地1建物1車位0,七層,二十六層,套房(1房1廳1衛),住家用,見其他登記事項,1050331,53.67,1,1,1,有,無,11250000,209575,,0,0,,RPSTNLSJQHLFFBA98CA
萬華區,房地(土地+建物),臺北市萬華區康定路91~120號,3.61,商,,,1050516,土地1建物1車位0,八層,二十六層,套房(1房1廳1衛),住家用,見其他登記事項,1050331,53.67,1,1,1,有,無,11120000,207154,,0,0,,RPTTNLSJQHLFFBA09CA
萬華區,房地(土地+建物),臺北市萬華區康定路91~120號,3.61,商,,,1050516,土地1建物1車位0,九層,二十六層,套房(1房1廳1衛),住家用,見其他登記事項,1050331,53.67,1,1,1,有,無,11640000,216841,,0,0,,RPUTNLSJQHLFFBA56CA
萬華區,房地(土地+建物)+車位,臺北市萬華區康定路91~120號,3.79,商,,,1050516,土地1建物1車位1,十層,二十六層,套房(1房1廳1衛),住家用,見其他登記事項,1050331,70.52,1,1,1,有,無,12800000,211438,坡道機械,16.85,1450000,,RPVTNLSJQHLFFBA66CA
萬華區,房地(土地+建物)+車位,臺北市萬華區康定路91~120號,3.98,商,,,1050516,土地1建物1車位1,十一層,二十六層,套房(1房1廳1衛),住家用,見其他登記事項,1050331,87.37,1,1,1,有,無,13320000,209055,坡道平面,33.7,2100000,,RPWTNLSJQHLFFBA76CA
萬華區,房地(土地+建物)+車位,臺北市萬華區康定路91~120號,3.98,商,,,1050516,土地1建物1車位1,十二層,二十六層,套房(1房1廳1衛),住家用,見其他登記事項,1050331,87.37,1,1,1,有,無,13500000,209614,坡道平面,33.7,2250000,,RPXTNLSJQHLFFBA86CA
萬華區,房地(土地+建物),臺北市萬華區康定路91~120號,3.61,商,,,1050516,土地1建物1車位0,十三層,二十六層,套房(1房1廳1衛),住家用,見其他登記事項,1050331,53.67,1,1,1,有,無,11300000,210507,,0,0,,RPOUNLSJQHLFFBA68CA
萬華區,房地(土地+建物)+車位,臺北市萬華區康定路91~120號,3.98,商,,,1050516,土地1建物1車位1,十六層,二十六層,套房(1房1廳1衛),住家用,見其他登記事項,1050331,87.37,1,1,1,有,無,13690000,216881,坡道平面,33.7,2050000,,RPPUNLSJQHLFFBA78CA
萬華區,房地(土地+建物),臺北市萬華區康定路91~120號,3.61,商,,,1050516,土地1建物1車位0,十八層,二十六層,套房(1房1廳1衛),住家用,見其他登記事項,1050331,53.67,1,1,1,有,無,11590000,215909,,0,0,,RPQUNLSJQHLFFBA88CA
萬華區,房地(土地+建物)+車位,臺北市萬華區康定路91~120號,3.98,商,,,1050516,土地1建物1車位1,二十層,二十六層,套房(1房1廳1衛),住家用,見其他登記事項,1050331,87.37,1,1,1,有,無,13820000,218372,坡道平面,33.7,2100000,,SPQUNLSJQHLFFBA98CA
萬華區,房地(土地+建物),臺北市萬華區康定路91~120號,3.61,商,,,1050516,土地1建物1車位0,十九層,二十六層,套房(1房1廳1衛),住家用,見其他登記事項,1050331,53.67,1,1,1,有,無,10970000,204359,,0,0,,RPRUNLSJQHLFFBA98CA
萬華區,房地(土地+建物)+車位,臺北市萬華區康定路91~120號,5.46,商,,,1050516,土地1建物1車位1,二十二層,二十六層,住宅大樓(11層含以上有電梯),住家用,見其他登記事項,1050331,109.23,2,2,1,有,無,18100000,210512,坡道平面,33.7,2200000,,SPRUNLSJQHLFFBA09CA
萬華區,房地(土地+建物)+車位,臺北市萬華區康定路91~120號,3.98,商,,,1050516,土地1建物1車位1,二十一層,二十六層,套房(1房1廳1衛),住家用,見其他登記事項,1050331,87.37,1,1,1,有,無,13770000,219303,坡道平面,33.7,2000000,,RPSUNLSJQHLFFBA09CA
萬華區,房地(土地+建物),臺北市萬華區康定路91~120號,3.61,商,,,1050516,土地1建物1車位0,二十四層,二十六層,套房(1房1廳1衛),住家用,見其他登記事項,1050331,53.67,1,1,1,有,無,11650000,217027,,0,0,,RPTUNLSJQHLFFBA56CA
萬華區,房地(土地+建物)+車位,臺北市萬華區康定路91~120號,4.35,商,,,1050516,土地1建物1車位2,二十六層,二十六層,套房(1房1廳1衛),住家用,見其他登記事項,1050331,121.06,1,1,1,有,無,16850000,220794,坡道平面,67.4,5000000,,RPUUNLSJQHLFFBA66CA
萬華區,房地(土地+建物),臺北市萬華區康定路91~120號,5.09,商,,,1050516,土地1建物1車位0,三層,二十六層,住宅大樓(11層含以上有電梯),住家用,見其他登記事項,1050331,75.53,2,2,1,有,無,15300000,202569,,0,0,,RPVUNLSJQHLFFBA76CA
